> 2MASS Tully-Fisher Survey
> Hong, T., Staveley-Smith, L., Masters, K. L., Springob, C. M., 
> acri, L. M., Koribalski, B. S., Jones, D. H., Jarrett, T. H., 
> Crook, A. C. 2013, MNRAS, arXiv:1304.0882
>
> ASCII Table
> Generated by Tao Hong  Sun May 12 2013
>
> Telescope:      Parkes telescope with MX mode
> Beam size:      14.0 [arcminutes]
> Object:         2MASS J00301223-4106041
> RA:               7.5510  (J2000) decimal degrees
> DEC:            -41.1011  (J2000) decimal degrees
> Rest Frequency: 1420.4058 [MHz]
> Bandwidth:      8 [MHz]
> Channels:       1024
> HI Archive at http://ict.icrar.org/2MTF/
>
The spectrum is not baselined. Not smoothed either.i ******
  Frequency     Velocity-HEL    Flux Density ***
     MHz            km/s             mJy     ***
  1374.9766      9905.1377        -29.1887
  1374.9844      9903.3779        -29.9312
  1374.9922      9901.6182         31.7965
  1375.0000      9899.8585         -6.8412
  1375.0078      9898.0988         11.3677
  1375.0156      9896.3392         13.7027
  1375.0234      9894.5795        -10.1890
  1375.0312      9892.8199         14.1322
  1375.0391      9891.0603        -12.0604
  1375.0469      9889.3008        -17.8703
  1375.0547      9887.5412        -44.7455
  1375.0625      9885.7817        -23.8628
  1375.0703      9884.0222         -6.7443
  1375.0781      9882.2627        -15.9163
  1375.0859      9880.5032        -33.3265
  1375.0937      9878.7437         11.3416
  1375.1016      9876.9843        -19.7287
  1375.1094      9875.2249        -46.6446
  1375.1172      9873.4655        -21.4908
  1375.1250      9871.7061         -5.4439
  1375.1328      9869.9468         -8.7041
  1375.1406      9868.1874         -1.0373
  1375.1484      9866.4281        -48.0285
  1375.1562      9864.6688        -15.2794
  1375.1641      9862.9095        -14.7406
  1375.1719      9861.1503         -6.8387
  1375.1797      9859.3911          7.6011
  1375.1875      9857.6318         -1.3393
  1375.1953      9855.8726          3.2328
  1375.2031      9854.1135        -17.0845
  1375.2109      9852.3543         -2.6837
  1375.2187      9850.5952         -8.0945
  1375.2266      9848.8361        -18.8286
  1375.2344      9847.0770        -11.1709
  1375.2422      9845.3179         -5.5225
  1375.2500      9843.5588         -2.7801
  1375.2578      9841.7998        -16.9311
  1375.2656      9840.0408         -0.6313
  1375.2734      9838.2818         -8.1442
  1375.2812      9836.5228        -16.9530
  1375.2891      9834.7639         -8.6946
  1375.2969      9833.0049         -3.6835
  1375.3047      9831.2460          3.8063
  1375.3125      9829.4871        -17.6109
  1375.3203      9827.7282          1.1155
  1375.3281      9825.9694          6.3463
  1375.3359      9824.2106         -5.8642
  1375.3438      9822.4517         -6.2687
  1375.3516      9820.6929         -8.5204
  1375.3594      9818.9342         -2.2047
  1375.3672      9817.1754         -5.4278
  1375.3750      9815.4167        -14.4661
  1375.3828      9813.6580          0.4931
  1375.3906      9811.8993         -2.1084
  1375.3984      9810.1406        -11.6072
  1375.4063      9808.3819         -8.5456
  1375.4141      9806.6233         -4.8687
  1375.4219      9804.8647         -5.0029
  1375.4297      9803.1061          0.5042
  1375.4375      9801.3475         -9.3154
  1375.4453      9799.5890         -3.1040
  1375.4531      9797.8304         -0.3617
  1375.4609      9796.0719         -8.6987
  1375.4688      9794.3134         -1.4291
  1375.4766      9792.5549         -5.6455
  1375.4844      9790.7965         10.7183
  1375.4922      9789.0381         -0.8070
  1375.5000      9787.2796         -4.1081
  1375.5078      9785.5212          1.3785
  1375.5156      9783.7629         -5.0641
  1375.5234      9782.0045         -2.9182
  1375.5313      9780.2462         -8.4159
  1375.5391      9778.4879         -0.0376
  1375.5469      9776.7296          2.7444
  1375.5547      9774.9713         -7.3770
  1375.5625      9773.2130         -6.2938
  1375.5703      9771.4548         -7.9532
  1375.5781      9769.6966         -5.9696
  1375.5859      9767.9384          6.3255
  1375.5938      9766.1802          4.2164
  1375.6016      9764.4221         -2.4143
  1375.6094      9762.6639         -0.9704
  1375.6172      9760.9058         -1.6251
  1375.6250      9759.1477         -6.3052
  1375.6328      9757.3896         -9.1846
  1375.6406      9755.6316         -9.9798
  1375.6485      9753.8735         -0.5804
  1375.6563      9752.1155         -0.7030
  1375.6641      9750.3575         -1.8994
  1375.6719      9748.5996          7.3861
  1375.6797      9746.8416         -2.9918
  1375.6875      9745.0837         -6.2068
  1375.6953      9743.3257          2.1021
  1375.7031      9741.5679         -4.4207
  1375.7110      9739.8100         -3.2234
  1375.7188      9738.0521         -3.1942
  1375.7266      9736.2943          2.2977
  1375.7344      9734.5365          5.8461
  1375.7422      9732.7787         -2.3161
  1375.7500      9731.0209         -4.3718
  1375.7578      9729.2631          1.0122
  1375.7656      9727.5054         -1.2554
  1375.7735      9725.7477         -4.0757
  1375.7813      9723.9900         -8.1451
  1375.7891      9722.2323         -8.4913
  1375.7969      9720.4747         -5.7400
  1375.8047      9718.7170         -1.1847
  1375.8125      9716.9594         -6.1506
  1375.8203      9715.2018         -4.1349
  1375.8281      9713.4442          3.1217
  1375.8360      9711.6867          2.5784
  1375.8438      9709.9291          6.3608
  1375.8516      9708.1716          0.2167
  1375.8594      9706.4141         -3.2953
  1375.8672      9704.6566          0.7324
  1375.8750      9702.8992         -3.9916
  1375.8828      9701.1417         -1.3913
  1375.8906      9699.3843          2.5252
  1375.8985      9697.6269         -1.4278
  1375.9063      9695.8696         -7.7897
  1375.9141      9694.1122         -7.8523
  1375.9219      9692.3549         -2.1453
  1375.9297      9690.5975          1.2840
  1375.9375      9688.8402         -7.6779
  1375.9453      9687.0830         -5.2434
  1375.9532      9685.3257         -5.4508
  1375.9610      9683.5685         -8.3333
  1375.9688      9681.8113          3.6746
  1375.9766      9680.0541         -3.2961
  1375.9844      9678.2969         -5.7273
  1375.9922      9676.5397         -5.8220
  1376.0000      9674.7826         -5.6314
  1376.0078      9673.0255          1.3888
  1376.0157      9671.2684         -6.6044
  1376.0235      9669.5113          0.2920
  1376.0313      9667.7542          1.3884
  1376.0391      9665.9972         -1.7229
  1376.0469      9664.2402          2.4575
  1376.0547      9662.4832          5.0977
  1376.0625      9660.7262          0.7618
  1376.0703      9658.9692        -16.9341
  1376.0782      9657.2123         -4.4138
  1376.0860      9655.4554         -8.4954
  1376.0938      9653.6985         -4.5832
  1376.1016      9651.9416        -13.1629
  1376.1094      9650.1848          1.7348
  1376.1172      9648.4279         -0.5503
  1376.1250      9646.6711         -5.1801
  1376.1328      9644.9143         -4.5166
  1376.1407      9643.1575         -7.0293
  1376.1485      9641.4008         -5.5889
  1376.1563      9639.6440        -17.5376
  1376.1641      9637.8873         -6.9619
  1376.1719      9636.1306         -4.3371
  1376.1797      9634.3739         -6.4744
  1376.1875      9632.6173         -7.3330
  1376.1953      9630.8606         -2.7557
  1376.2032      9629.1040         -5.4420
  1376.2110      9627.3474         -2.6877
  1376.2188      9625.5908         -0.9772
  1376.2266      9623.8343        -14.3027
  1376.2344      9622.0777         -6.0399
  1376.2422      9620.3212         -7.5964
  1376.2500      9618.5647         -7.3464
  1376.2579      9616.8082         -1.1820
  1376.2657      9615.0518        -10.0165
  1376.2735      9613.2953          2.7964
  1376.2813      9611.5389         -0.5061
  1376.2891      9609.7825        -16.0476
  1376.2969      9608.0261        -10.1704
  1376.3047      9606.2698         -2.1871
  1376.3125      9604.5134         -7.7378
  1376.3204      9602.7571         -5.2866
  1376.3282      9601.0008          1.6219
  1376.3360      9599.2445         -9.3609
  1376.3438      9597.4883         -4.2347
  1376.3516      9595.7320          0.2107
  1376.3594      9593.9758         -6.4409
  1376.3672      9592.2196         -5.4759
  1376.3750      9590.4634         -0.7386
  1376.3829      9588.7073         -5.9822
  1376.3907      9586.9511         -5.7124
  1376.3985      9585.1950         -7.7563
  1376.4063      9583.4389         -7.5471
  1376.4141      9581.6828         -6.3709
  1376.4219      9579.9268         -0.1154
  1376.4297      9578.1707         -4.7834
  1376.4375      9576.4147         -2.4271
  1376.4454      9574.6587         -3.6142
  1376.4532      9572.9027         -2.2758
  1376.4610      9571.1468          7.2036
  1376.4688      9569.3908         -3.9385
