sampling_point,Ca-IC,Mg-IC,Na-IC,K-IC
"Pond Lab, Bush Well",85.59397,24.351831,4.1999273,0.9035815
Pond Lab Reservoir well,91.54731,26.826193,4.270796,0.89559144
"Pond Lab, Bush Well",85.30542,24.671526,4.113261,0.9162745
Pond Lab Reservoir well,83.25407,19.900213,4.1218915,0.75730115
"Pond Lab, Bush Well",76.39045,18.085892,4.0084066,0.7148325
"Pond Lab, Bush Well",82.0203,22.176386,4.0485897,0.7770599
Pond Lab Reservoir well,88.17583,23.740145,4.0189996,0.7754898
Pond Lab Reservoir well,64.787636,21.200087,3.2756975,0.48548007
"Pond Lab, Bush Well",76.83283,18.76464,3.1984596,0.43227777
"Pond Lab, Bush Well",83.28173,24.140518,3.8645575,0.83505464
Pond Lab Reservoir well,88.8689,25.912807,4.0503645,0.83708435
"Pond Lab, Bush Well",95.31123,34.999615,4.5450563,0.8381246
Pond Lab Reservoir well,89.81845,26.831236,4.1312337,0.85341424
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,89.214134,26.562395,4.1807046,0.9355332
"Pond Lab, Bush Well",83.64242,24.79673,3.936852,0.83951765
Pond Lab Reservoir well,36.99012,23.745949,3.9131153,0.7721864
Pond Lab Reservoir well,86.5001,25.607197,4.2462587,0.9051641
"Pond Lab, Bush Well",84.4963,24.912205,4.047169,0.8701246
"Pond Lab, Bush Well",47.48579,23.292387,3.6989133,0.850423
Pond Lab Reservoir well,86.564095,25.499144,4.175496,0.94145894
"Pond Lab, Bush Well",81.88849,24.306742,3.9292302,0.8062308
Pond Lab Reservoir well,71.922356,26.544533,3.9012978,0.33424073
"Pond Lab, Bush Well",69.17286,25.136337,3.5691433,0.34581113
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,56.448505,23.345716,3.931231,0.9755677
"Pond Lab, Bush Well",78.02887,23.400799,3.9003863,0.96335685
Pond Lab Reservoir well,53.256905,24.981668,3.8757408,0.80436796
"Pond Lab, Bush Well",78.1077,23.390533,3.8667169,0.8628138
Pond Lab Reservoir well,70.263725,25.964493,3.8714104,0.82876086
"Pond Lab, Bush Well",80.2541,23.551216,4.002525,0.81916577
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
"Pond Lab, Bush Well",81.31342,26.41166,3.394963,0.6099425
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
"Pond Lab, Bush Well",80.29127,23.81461,3.9920774,0.858892
Pond Lab Reservoir well,83.53587,24.900814,4.0730133,0.71334517
Pond Lab Reservoir well,89.9195,26.681684,3.9168243,0.44040364
"Pond Lab, Bush Well",86.2187,25.717287,3.7861142,0.45575607
Pond Lab Reservoir well,86.076324,25.781422,3.8974264,1.1003138
"Pond Lab, Bush Well",82.81984,24.814058,3.6411982,0.98992896
Pond Lab Reservoir well,75.0146,25.610754,4.078011,0.8257339
"Pond Lab, Bush Well",80.98336,24.210478,3.7660313,0.7808039
Pond Lab Reservoir well,84.330635,25.34861,4.103245,0.78569317
"Pond Lab, Bush Well",80.698296,24.137531,3.5340545,0.64801437
Pond Lab Reservoir well,57.452003,22.943176,4.016686,0.7510339
"Pond Lab, Bush Well",81.143845,24.392794,3.8614516,0.6767406
Pond Lab Reservoir well,84.85058,26.680695,4.133303,0.7863964
"Pond Lab, Bush Well",81.02065,25.372679,3.900463,0.70118886
Pond Lab Reservoir well,82.697876,23.333868,4.164213,0.8408827
"Pond Lab, Bush Well",79.49974,22.20549,3.9460456,0.90307295
"Pond Lab, Bush Well",78.73127,23.704487,3.6416903,1.1771182
Pond Lab Reservoir well,87.01121,26.145359,4.2120776,1.3343227
"Pond Lab, Bush Well",81.33857,23.444345,4.3459415,1.0126965
Pond Lab Reservoir well,85.270485,25.250225,3.9655836,1.0741317
"Pond Lab, Bush Well",79.29454,23.613121,3.816309,1.1288295
Pond Lab Reservoir well,83.87453,25.728125,3.9778872,1.0196348
"Pond Lab, Bush Well",81.52753,24.04835,3.6995988,1.1002975
Pond Lab Reservoir well,86.964294,25.186102,4.1525364,0.9865565
"Pond Lab, Bush Well",81.59936,23.690485,3.7407498,0.9715743
"Pond Lab, Bush Well",79.859955,22.950092,3.5759156,0.69521374
"Pond Lab, Bush Well",79.62932,23.216593,3.5609176,0.8889707
"Pond Lab, Bush Well",81.40635,24.206331,3.8244882,1.2262329
Pond Lab Reservoir well,87.02697,25.869085,4.0206532,1.2861795
"Pond Lab, Bush Well",89.20253,26.399315,4.0884585,0.918396
Pond Lab Reservoir well,76.368126,24.85985,8.490927,1.3427961
"Pond Lab, Bush Well",79.31477,23.784431,4.6667194,0.7061921
"Pond Lab, Bush Well",35.481194,22.64357,3.5583777,0.72408926
"Pond Lab, Bush Well",80.190575,24.096863,3.8678741,0.9359217
Pond Lab Reservoir well,85.765,25.863913,4.0483165,0.8868824
Pond Lab Reservoir well,84.38857,25.267012,4.0429277,0.6440032
"Pond Lab, Bush Well",79.72185,23.782202,4.109325,0.7011472
Pond Lab Reservoir well,85.681335,24.449472,3.8056252,0.9328757
"Pond Lab, Bush Well",80.79115,22.729342,3.6676881,0.93242013
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
"Pond Lab, Bush Well",,,,
"Pond Lab, Bush Well",,,,
"Pond Lab, Bush Well",,,,
"Pond Lab, Bush Well",,,,
"Pond Lab, Bush Well",,,,
"Pond Lab, Bush Well",,,,
"Pond Lab, Bush Well",,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
"Pond Lab, Bush Well",,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
"Pond Lab, Bush Well",,,,
Pond Lab Reservoir well,,,,
"Pond Lab, Bush Well",,,,
"Pond Lab, Bush Well",,,,
