# Groundwater Chemistry near the KBS LTER
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/390
# The newest version of the data https://lter.kbs.msu.edu/datatables/390.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/50.eml
#
# 
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# sample_date		Sample date
# site		Site
# sampling_point		Sample point
# latitude	degree	Latitude of the sample point
# longitude	degree	Longitude of the sample point
# Ca-AA	milligramsPerLiter	Ca measured by Atomic Absorption in mg/L
# Mg-AA	milligramsPerLiter	Mg measured by Atomic Absorption in mg/L
# Na-AA	milligramsPerLiter	Na measured by Atomic Absorption in mg/L
# K-AA	milligramsPerLiter	K measured by Atomic Absorption in mg/L
# NO3-N	milligramsPerLiter	NO3-N in mg/L
# Alkal	microequivalentsPerLiter	Total_Alkalinity in ueq/L
# Cl	milligramsPerLiter	Cl in mg/L
# SO4	milligramsPerLiter	SO4 in mg/L
# NH4-N	microgramsPerLiter	NH4-N in ug/L
# PO4-P	microgramsPerLiter	PO4-P in ug/L
# DOC	milligramsPerLiter	DOC: Shimadzu NPOC, <2005 Ionics DOC Analyzer in mg/L
# Cnd-L	microsiemensPerCentimeter	SpecificConductanceLab in uS/cm
# TDP	microgramsPerLiter	TDP in ug/L
# TP	microgramsPerLiter	TotalP in ug/L
# Si	milligramsPerLiter	Silica-Si in mg/L
# Ca-IC	milligramsPerLiter	Ca measured by ion chromatography in mg/L
# Mg-IC	milligramsPerLiter	Mg measured by ion chromatography in mg/L
# Na-IC	milligramsPerLiter	Na measured by ion chromatography in mg/L
# K-IC	milligramsPerLiter	K measured by ion chromatography in mg/L
# Cnd-F	microequivalentsPerLiter	SpecificConductanceField in uS/cm
# O2%	dimensionless	OxygenSaturation
# O2	milligramsPerLiter	OxygenConcentration in mg/L
# Discharge	litersPerSecond	Discharge in L/s
# TSS	milligramsPerLiter	Total Particulate Matter in mg/L
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
sample_date,site,sampling_point,latitude,longitude,Ca-AA,Mg-AA,Na-AA,K-AA,NO3-N,Alkal,Cl,SO4,NH4-N,PO4-P,DOC,Cnd-L,TDP,TP,Si,Ca-IC,Mg-IC,Na-IC,K-IC,Cnd-F,O2%,O2,Discharge,TSS
#,,,degree,degree,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,microequivalentsPerLiter,milligramsPerLiter,milligramsPerLiter,microgramsPerLiter,microgramsPerLiter,milligramsPerLiter,microsiemensPerCentimeter,microgramsPerLiter,microgramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,milligramsPerLiter,microequivalentsPerLiter,dimensionless,milligramsPerLiter,litersPerSecond,milligramsPerLiter
2017-12-19,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.030752728,,1.5046203,41.89044,,,,,,,,85.59397,24.351831,4.1999273,0.9035815,547.5,92.2,9.03,,
2017-08-15,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,5380.2505,9.122208,52.049763,15.868602,1.9186046,2.3954942,,,,,91.54731,26.826193,4.270796,0.89559144,522.1,34,3.59,,
2017-08-15,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0,5211.424,7.002483,43.336987,12.761526,3.3139534,2.1167169,,,,,85.30542,24.671526,4.113261,0.9162745,504.6,8.7,0.72,,
2017-06-14,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,5375.074,10.599028,55.240765,20.761066,0,1.4134156,,7.0109253,,,83.25407,19.900213,4.1218915,0.75730115,594.2,30.7,3.26,,
2017-06-14,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0.02415654,5126.8955,7.855475,44.420643,9.115386,0,4.7113853,,6.648291,,,76.39045,18.085892,4.0084066,0.7148325,564.8,9.3,0.8,,
2017-03-27,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0,5136.5054,8.088221,42.283432,,4.2426457,7.006966,,9.994005,14.459412,,82.0203,22.176386,4.0485897,0.7770599,527,6.3,0.57,,
2017-03-27,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,5305.1543,10.272684,52.480034,,8.536407,5.257106,,13.502539,15.416285,,88.17583,23.740145,4.0189996,0.7754898,552.6,14.2,1.54,,
2016-08-12,"Well, pumped, domestic water supply",Pond Lab Reservoir well,,,,,,,0,5323.2026,9.628363,53.567364,,,4.2752,,,,,64.787636,21.200087,3.2756975,0.48548007,593,40.1,4.23,,
2016-08-12,"Well, pumped, domestic water supply","Pond Lab, Bush Well",,,,,,,0,5044.999,7.234318,44.238674,,,0.59408367,,,,,76.83283,18.76464,3.1984596,0.43227777,559.6,2.6,0.22,,
