Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales,Critic_Score,User_Score,Developer
Wii Sports,2006,Sports,Nintendo,41.36,28.96,3.77,82.53,76,8,Nintendo
Super Mario Bros.,1985,Platform,Nintendo,29.08,3.58,6.81,40.24,,,
Mario Kart Wii,2008,Racing,Nintendo,15.68,12.76,3.79,35.52,82,8.3,Nintendo
Wii Sports Resort,2009,Sports,Nintendo,15.61,10.93,3.28,32.77,80,8,Nintendo
Pokemon Red/Pokemon Blue,1996,Role-Playing,Nintendo,11.27,8.89,10.22,31.37,,,
Tetris,1989,Puzzle,Nintendo,23.2,2.26,4.22,30.26,,,
New Super Mario Bros.,2006,Platform,Nintendo,11.28,9.14,6.5,29.8,89,8.5,Nintendo
Wii Play,2006,Misc,Nintendo,13.96,9.18,2.93,28.92,58,6.6,Nintendo
New Super Mario Bros. Wii,2009,Platform,Nintendo,14.44,6.94,4.7,28.32,87,8.4,Nintendo
Duck Hunt,1984,Shooter,Nintendo,26.93,0.63,0.28,28.31,,,
Nintendogs,2005,Simulation,Nintendo,9.05,10.95,1.93,24.67,,,
Mario Kart DS,2005,Racing,Nintendo,9.71,7.47,4.13,23.21,91,8.6,Nintendo
Pokemon Gold/Pokemon Silver,1999,Role-Playing,Nintendo,9,6.18,7.2,23.1,,,
Wii Fit,2007,Sports,Nintendo,8.92,8.03,3.6,22.7,80,7.7,Nintendo
Kinect Adventures!,2010,Misc,Microsoft Game Studios,15,4.89,0.24,21.81,61,6.3,Good Science Studio
Wii Fit Plus,2009,Sports,Nintendo,9.01,8.49,2.53,21.79,80,7.4,Nintendo
Grand Theft Auto V,2013,Action,Take-Two Interactive,7.02,9.09,0.98,21.04,97,8.2,Rockstar North
Grand Theft Auto: San Andreas,2004,Action,Take-Two Interactive,9.43,0.4,0.41,20.81,95,9,Rockstar North
Super Mario World,1990,Platform,Nintendo,12.78,3.75,3.54,20.61,,,
Brain Age: Train Your Brain in Minutes a Day,2005,Misc,Nintendo,4.74,9.2,4.16,20.15,77,7.9,Nintendo
Pokemon Diamond/Pokemon Pearl,2006,Role-Playing,Nintendo,6.38,4.46,6.04,18.25,,,
Super Mario Land,1989,Platform,Nintendo,10.83,2.71,4.18,18.14,,,
Super Mario Bros. 3,1988,Platform,Nintendo,9.54,3.44,3.84,17.28,,,
Grand Theft Auto V,2013,Action,Take-Two Interactive,9.66,5.14,0.06,16.27,97,8.1,Rockstar North
Grand Theft Auto: Vice City,2002,Action,Take-Two Interactive,8.41,5.49,0.47,16.15,95,8.7,Rockstar North
Pokemon Ruby/Pokemon Sapphire,2002,Role-Playing,Nintendo,6.06,3.9,5.38,15.85,,,
Brain Age 2: More Training in Minutes a Day,2005,Puzzle,Nintendo,3.43,5.35,5.32,15.29,77,7.1,Nintendo
Pokemon Black/Pokemon White,2010,Role-Playing,Nintendo,5.51,3.17,5.65,15.14,,,
Gran Turismo 3: A-Spec,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,14.98,95,8.4,Polyphony Digital
Call of Duty: Modern Warfare 3,2011,Shooter,Activision,9.04,4.24,0.13,14.73,88,3.4,"Infinity Ward, Sledgehammer Games"
Pokémon Yellow: Special Pikachu Edition,1998,Role-Playing,Nintendo,5.89,5.04,3.12,14.64,,,
Call of Duty: Black Ops 3,2015,Shooter,Activision,6.03,5.86,0.36,14.63,,,
Call of Duty: Black Ops,2010,Shooter,Activision,9.7,3.68,0.11,14.61,87,6.3,Treyarch
Pokemon X/Pokemon Y,2013,Role-Playing,Nintendo,5.28,4.19,4.35,14.6,,,
Call of Duty: Black Ops II,2012,Shooter,Activision,4.99,5.73,0.65,13.79,83,5.3,Treyarch
Call of Duty: Black Ops II,2012,Shooter,Activision,8.25,4.24,0.07,13.67,83,4.8,Treyarch
Call of Duty: Modern Warfare 2,2009,Shooter,Activision,8.52,3.59,0.08,13.47,94,6.3,Infinity Ward
Call of Duty: Modern Warfare 3,2011,Shooter,Activision,5.54,5.73,0.49,13.32,88,3.2,"Infinity Ward, Sledgehammer Games"
Grand Theft Auto III,2001,Action,Take-Two Interactive,6.99,4.51,0.3,13.1,97,8.5,DMA Design
Super Smash Bros. Brawl,2008,Fighting,Nintendo,6.62,2.55,2.66,12.84,93,8.9,Game Arts
Mario Kart 7,2011,Racing,Nintendo,5.03,4.02,2.69,12.66,85,8.2,"Retro Studios, Entertainment Analysis & Development Division"
Call of Duty: Black Ops,2010,Shooter,Activision,5.99,4.37,0.48,12.63,88,6.4,Treyarch
Grand Theft Auto V,2014,Action,Take-Two Interactive,3.96,6.31,0.38,12.61,97,8.3,Rockstar North
Animal Crossing: Wild World,2005,Simulation,Nintendo,2.5,3.45,5.33,12.13,86,8.7,Nintendo
Halo 3,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,12.12,94,7.8,"Bungie Software, Bungie"
Super Mario 64,1996,Platform,Nintendo,6.91,2.85,1.91,11.89,,,
Pokemon HeartGold/Pokemon SoulSilver,2009,Action,Nintendo,4.34,2.71,3.96,11.77,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Role-Playing,Nintendo,4.35,3.49,3.1,11.68,,,
Gran Turismo 4,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,11.66,89,8.5,Polyphony Digital
Super Mario Galaxy,2007,Platform,Nintendo,6.06,3.35,1.2,11.35,97,8.9,Nintendo
Super Mario Land 2: 6 Golden Coins,1992,Adventure,Nintendo,6.16,2.04,2.69,11.18,,,
Grand Theft Auto IV,2008,Action,Take-Two Interactive,6.76,3.07,0.14,11.01,98,7.9,Rockstar North
Gran Turismo,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,10.95,96,8.7,Polyphony Digital
Super Mario 3D Land,2011,Platform,Nintendo,4.89,3,2.14,10.81,90,8.4,Nintendo
Gran Turismo 5,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,10.7,84,7.5,Polyphony Digital
Call of Duty: Modern Warfare 2,2009,Shooter,Activision,4.99,3.64,0.38,10.6,94,6.3,Infinity Ward
Super Mario All-Stars,1993,Platform,Nintendo,5.99,2.15,2.12,10.55,,,
Grand Theft Auto IV,2008,Action,Take-Two Interactive,4.76,3.69,0.44,10.5,98,7.5,Rockstar North
Pokemon FireRed/Pokemon LeafGreen,2004,Role-Playing,Nintendo,4.34,2.65,3.15,10.49,,,
Super Mario 64,2004,Platform,Nintendo,5.01,3.07,1.25,10.3,,,
Call of Duty: Ghosts,2013,Shooter,Activision,6.73,2.56,0.04,10.25,73,2.6,Infinity Ward
Just Dance 3,2011,Misc,Ubisoft,5.95,3.11,0,10.12,74,7.8,Ubisoft
New Super Mario Bros. 2,2012,Platform,Nintendo,3.66,3.14,2.47,9.9,78,7.2,Nintendo
Mario Kart 64,1996,Racing,Nintendo,5.55,1.94,2.23,9.87,,,
Halo: Reach,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,9.86,91,7.9,Bungie
